,DetectedState,DateAnnounced
202,Andhra Pradesh,20/04/2020
203,Andhra Pradesh,20/04/2020
204,Andhra Pradesh,20/04/2020
205,Andhra Pradesh,20/04/2020
206,Andhra Pradesh,20/04/2020
207,Andhra Pradesh,20/04/2020
208,Andhra Pradesh,20/04/2020
209,Andhra Pradesh,20/04/2020
210,Andhra Pradesh,20/04/2020
211,Andhra Pradesh,20/04/2020
212,Andhra Pradesh,20/04/2020
213,Andhra Pradesh,20/04/2020
214,Andhra Pradesh,20/04/2020
215,Andhra Pradesh,20/04/2020
216,Andhra Pradesh,20/04/2020
217,Andhra Pradesh,20/04/2020
218,Andhra Pradesh,20/04/2020
219,Andhra Pradesh,20/04/2020
220,Andhra Pradesh,20/04/2020
221,Andhra Pradesh,20/04/2020
222,Andhra Pradesh,20/04/2020
223,Andhra Pradesh,20/04/2020
224,Andhra Pradesh,20/04/2020
225,Andhra Pradesh,20/04/2020
226,Andhra Pradesh,20/04/2020
227,Andhra Pradesh,20/04/2020
228,Andhra Pradesh,20/04/2020
229,Andhra Pradesh,20/04/2020
230,Andhra Pradesh,20/04/2020
231,Andhra Pradesh,20/04/2020
232,Andhra Pradesh,20/04/2020
233,Andhra Pradesh,20/04/2020
234,Andhra Pradesh,20/04/2020
235,Andhra Pradesh,20/04/2020
236,Andhra Pradesh,20/04/2020
237,Andhra Pradesh,20/04/2020
238,Andhra Pradesh,20/04/2020
239,Andhra Pradesh,20/04/2020
240,Andhra Pradesh,20/04/2020
241,Maharashtra,20/04/2020
242,Maharashtra,20/04/2020
243,Maharashtra,20/04/2020
244,Maharashtra,20/04/2020
245,Maharashtra,20/04/2020
246,Maharashtra,20/04/2020
247,Maharashtra,20/04/2020
248,Maharashtra,20/04/2020
249,Maharashtra,20/04/2020
250,Maharashtra,20/04/2020
251,Maharashtra,20/04/2020
252,Maharashtra,20/04/2020
253,Maharashtra,20/04/2020
254,Maharashtra,20/04/2020
255,Maharashtra,20/04/2020
256,Maharashtra,20/04/2020
257,Maharashtra,20/04/2020
258,Maharashtra,20/04/2020
259,Maharashtra,20/04/2020
260,Maharashtra,20/04/2020
261,Maharashtra,20/04/2020
262,Maharashtra,20/04/2020
263,Maharashtra,20/04/2020
264,Maharashtra,20/04/2020
265,Maharashtra,20/04/2020
266,Maharashtra,20/04/2020
267,Maharashtra,20/04/2020
268,Maharashtra,20/04/2020
269,Maharashtra,20/04/2020
270,Maharashtra,20/04/2020
271,Maharashtra,20/04/2020
272,Maharashtra,20/04/2020
273,Maharashtra,20/04/2020
274,Maharashtra,20/04/2020
